Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.16378E-3,74.343713994,0.856252449,0.009446694,0.781333333,0.856
2.16629E-3,74.560343454,0.856576672,0.009350299,0.784,0.856
2.18181E-3,74.778524177,0.858557334,0.009253904,0.786666667,0.864
2.1879E-3,75.216087569,0.859327667,0.009061114,0.789333333,0.864
2.18836E-3,75.434923217,0.859385313,0.008964719,0.792,0.864
2.19143E-3,75.605534739,0.85977283,0.008868325,0.794666667,0.864
2.19454E-3,75.873608629,0.86016284,0.00877193,0.797333333,0.872
2.19644E-3,76.093252877,0.860400891,0.008675535,0.8,0.872
2.19821E-3,76.313073492,0.860621425,0.00857914,0.802666667,0.872
2.20317E-3,76.53339025,0.861239954,0.008482745,0.805333333,0.872
2.20796E-3,76.75418593,0.861834407,0.00838635,0.805333333,0.872
2.21406E-3,77.196592781,0.862587784,0.008193561,0.808,0.88
2.23654E-3,77.4202465,0.865329334,0.008097166,0.810666667,0.888
2.23695E-3,77.643941829,0.865379559,0.008000771,0.813333333,0.888
2.2473E-3,77.868671722,0.866622291,0.007904376,0.816,0.888
2.24749E-3,78.093420916,0.866645365,0.007807981,0.816,0.888
2.24876E-3,78.318297033,0.866797009,0.007711587,0.818666667,0.888
2.25289E-3,78.543585613,0.867288617,0.007615192,0.821333333,0.888
2.2595E-3,78.769535826,0.868073417,0.007518797,0.824,0.888
2.27518E-3,79.223585526,0.869915125,0.007326007,0.829333333,0.888
2.27686E-3,79.451271241,0.870110015,0.007229612,0.832,0.888
2.28705E-3,79.679976679,0.871291955,0.007133218,0.834666667,0.888
2.28812E-3,79.908788768,0.87141495,0.007036823,0.837333333,0.888
2.29072E-3,80.13786043,0.871713809,0.006940428,0.84,0.888
2.29088E-3,80.366948637,0.871732834,0.006844033,0.842666667,0.888
2.29156E-3,80.596104482,0.871810584,0.006747638,0.842666667,0.888
2.30374E-3,80.826478729,0.873203082,0.006651243,0.845333333,0.888
2.31065E-3,81.057544137,0.873986268,0.006554849,0.848,0.888
2.31659E-3,81.289202822,0.874654678,0.006458454,0.850666667,0.888
2.33448E-3,81.522650577,0.876648925,0.006362059,0.853333333,0.888
2.34613E-3,81.757264055,0.877931234,0.006265664,0.853333333,0.896
2.35597E-3,82.228163822,0.879002828,0.006072874,0.858666667,0.896
2.35797E-3,82.463960385,0.879219013,0.00597648,0.861333333,0.896
2.36587E-3,82.7005475,0.880071941,0.005880085,0.864,0.896
2.37786E-3,82.753115202,0.881354085,0.00578369,0.866666667,0.896
2.42641E-3,83.1852981,0.886407122,0.005687295,0.866666667,0.904
2.42914E-3,83.428212259,0.886684739,0.0055909,0.869333333,0.904
2.43192E-3,83.671404367,0.886966729,0.005494505,0.872,0.904
2.4326E-3,83.914663907,0.887035035,0.005398111,0.872,0.904
2.43302E-3,84.157965486,0.8870776,0.005301716,0.874666667,0.904
2.43617E-3,84.401582676,0.887396635,0.005205321,0.874666667,0.904
2.44189E-3,84.645771395,0.887972074,0.005108926,0.877333333,0.904
2.44761E-3,84.890532384,0.888545312,0.005012531,0.88,0.904
2.45465E-3,85.13599749,0.889246598,0.004916136,0.882666667,0.912
2.45959E-3,85.381956491,0.889735872,0.004819742,0.885333333,0.912
2.46426E-3,85.628382071,0.8901961,0.004723347,0.885333333,0.92
2.46655E-3,85.875037058,0.89042168,0.004626952,0.888,0.92
2.47472E-3,86.122509441,0.891221676,0.004530557,0.890666667,0.92
2.47779E-3,86.291283349,0.891520732,0.004434162,0.893333333,0.92
2.48274E-3,86.618707446,0.892001039,0.004337767,0.896,0.928
